photo,programming,0,Photo,10,11.25,1,photo 
meal,inside,breakfast,0,Breakfast,7.5,9,3 
meal,inside,breakfast,0,Breakfast,7.75,9.5,3 
meal,inside,breakfast,0,Breakfast,8.25,10.25,3 
meal,inside,breakfast,1,Breakfast,6.75,10.25,2 
meal,inside,breakfast,1,Breakfast,7.75,9.5,3 
meal,inside,breakfast,1,Breakfast,8.25,10.25,3 
meal,inside,breakfast,2,Breakfast,6.75,10.25,2 
meal,inside,breakfast,2,Breakfast,7.75,9.5,3 
meal,inside,breakfast,2,Breakfast,8.25,10.25,3 
meal,inside,breakfast,3,Breakfast,6.75,10.25,2 
meal,inside,breakfast,3,Breakfast,7.5,9,3 
meal,inside,breakfast,3,Breakfast,7.75,9.5,3 
meal,inside,breakfast,3,Breakfast,8.25,10.25,3 
meal,inside,breakfast,4,Breakfast,6.75,10.25,2 
meal,inside,breakfast,4,Breakfast,7.5,9,3 
meal,inside,breakfast,4,Breakfast,7.75,9.5,3 
meal,inside,breakfast,4,Breakfast,8.25,10.25,3 
meal,inside,breakfast,5,Breakfast,6.75,10.25,2 
meal,inside,breakfast,5,Breakfast,7.5,9,3 
meal,inside,breakfast,5,Breakfast,7.75,9.5,3 
meal,inside,breakfast,6,Breakfast,6.75,10.25,2 
meal,inside,breakfast,6,Breakfast,7.5,9,3 
meal,inside,breakfast,6,Breakfast,7.75,9.5,3 
meal,inside,breakfast,6,Breakfast,8.25,10.25,3 
meal,dinner,inside,0,Dinner,17.25,20,11 
meal,dinner,inside,0,Dinner,18,20,3 
meal,dinner,inside,1,Dinner,17.25,20,11 
meal,dinner,inside,1,Dinner,18,20,3 
meal,dinner,inside,3,Dinner,17.25,20,11 
meal,dinner,inside,3,Dinner,18,20,3 
meal,dinner,inside,4,Dinner,18,20,3 
meal,dinner,inside,5,Dinner,17.25,20,8 
lunch,meal,inside,0,Lunch,11.25,14,3 
lunch,meal,inside,0,Lunch,11.75,13,8 
lunch,meal,inside,0,Lunch,12,14,5 
lunch,meal,inside,1,Lunch,11.75,13,4 
lunch,meal,inside,1,Lunch,12,14,4 
lunch,meal,inside,1,Lunch,11.25,14,2 
lunch,meal,inside,2,Lunch,11.25,14,3 
lunch,meal,inside,2,Lunch,12,14,5 
lunch,meal,inside,3,Lunch,11.25,14,3 
lunch,meal,inside,3,Lunch,11.75,13,8 
